,,,,,info,2050 nox for CT (save set #15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543.62403,50010.45974,16,1801.156793,0,lb_this_hour,16,1864,42.19140556,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.2147151,0,0,0,43.56788797,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,78.44096464,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,176.3352851,0,528.7591457,0,0,0,42.11778932,0,11.61585831,4.433756756,0,0,0,,,,
761.8656916,43733.32176,17,1543.62403,0,lb_this_hour,17,2061,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,176.3352851,0,528.7591457,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
766.4863431,49104.1547,18,3181.777768,0,lb_this_hour,18,1090,42.19140556,49.55233734,49.55233734,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,89.06703266,0,0,43.23923678,48.4803225,89.06703266,0,0,0,0,8.417553159,0,10.52193865,51.2147151,0,0,0,43.56788797,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,78.44096464,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,464.9985917,4.620651543,0,0,0,0,0,118.6239335,118.6239335,0,0,0,118.6239335,36.13191032,176.3352851,0,528.7591457,0,89.06703266,10.52193865,42.11778932,0,11.61585831,4.433756756,0,36.13191032,0,,,,
701.081134,29533.59975,19,3181.777768,0,lb_this_hour,19,860,42.19140556,49.55233734,49.55233734,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,89.06703266,0,0,43.23923678,48.4803225,89.06703266,0,0,0,0,8.417553159,0,10.52193865,51.2147151,0,0,0,43.56788797,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,78.44096464,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,464.9985917,4.620651543,0,0,0,0,0,118.6239335,118.6239335,0,0,0,118.6239335,36.13191032,176.3352851,0,528.7591457,0,89.06703266,10.52193865,42.11778932,0,11.61585831,4.433756756,0,36.13191032,0,,,,
761.8656916,33682.80421,20,3181.777768,0,lb_this_hour,20,1345,42.19140556,49.55233734,49.55233734,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,89.06703266,0,0,43.23923678,48.4803225,89.06703266,0,0,0,0,8.417553159,0,10.52193865,51.2147151,0,0,0,43.56788797,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,78.44096464,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,464.9985917,4.620651543,0,0,0,0,0,118.6239335,118.6239335,0,0,0,118.6239335,36.13191032,176.3352851,0,528.7591457,0,89.06703266,10.52193865,42.11778932,0,11.61585831,4.433756756,0,36.13191032,0,,,,
838.5295994,46730.04745,21,1543.62403,0,lb_this_hour,21,1956,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,176.3352851,0,528.7591457,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
761.8656916,29265.66724,22,1543.62403,0,lb_this_hour,22,2473,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,176.3352851,0,528.7591457,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
838.5295994,41591.55245,23,838.5295994,0,lb_this_hour,23,2696,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
838.5295994,50413.46711,24,838.5295994,0,lb_this_hour,24,2598,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
838.5295994,49772.13324,25,838.5295994,31337.21226,lb_this_hour,25,2713,0,0,0,0,21.41557629,23.28380645,0,36.85329129,0,21.25424493,17.15373115,0,549.9474883,21.13844743,35.63534511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.41782097,0.337866732,0.337866732,0.337866732,0,0,0,14.56084731,0,9.998012542,0,0,13.32564117,11.1205045,10.14133318,0,0,0,0,0,0,0,5.372586703,3.862394917,4.367495414,0,2.997164873,0,0,0,4.620651543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61585831,4.433756756,0,0,0,,,,
